صفحة PDF,القسم,رقم المخالفة في القسم,الرمز الداخلي,نوع المخالفة,أول مرة,ثاني مرة,ثالث مرة,رابع مرة
39,مواعيد العمل,1,WS-01,التأخر عن مواعيد الحضور للعمل لغاية (15) دقيقة دون إذن، أو عذر مقبول؛ إذا لم يترتب على ذلك تعطيل عمال آخرين.,إنذار كتابي,خصم 5% من الأجر اليومي,خصم 10% من الأجر اليومي,خصم 20% من الأجر اليومي
39,مواعيد العمل,2,WS-02,التأخر عن مواعيد الحضور للعمل لغاية (15) دقيقة دون إذن، أو عذر مقبول؛ إذا ترتب على ذلك تعطيل عمال آخرين.,إنذار كتابي,خصم 15% من الأجر اليومي,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي
39,مواعيد العمل,3,WS-03,التأخر عن مواعيد الحضور للعمل أكثر من (15) دقيقة لغاية (30) دقيقة دون إذن، أو عذر مقبول؛ إذا لم يترتب على ذلك تعطيل عمال آخرين.,خصم 10% من الأجر اليومي,خصم 15% من الأجر اليومي,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي
39,مواعيد العمل,4,WS-04,التأخر عن مواعيد الحضور للعمل أكثر من (15) دقيقة لغاية (30) دقيقة دون إذن، أو عذر مقبول؛ إذا ترتب على ذلك تعطيل عمال آخرين.,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي,خصم 75% من الأجر اليومي,خصم يوم من الأجر
39,مواعيد العمل,5,WS-05,التأخر عن مواعيد الحضور للعمل أكثر من (30) دقيقة لغاية (60) دقيقة دون إذن، أو عذر مقبول؛ إذا لم يترتب على ذلك تعطيل عمال آخرين.,خصم 25% من الأجر اليومي,خصم 50% من الأجر اليومي,خصم 75% من الأجر اليومي,خصم يوم من الأجر
39,مواعيد العمل,6,WS-06,التأخر عن مواعيد الحضور للعمل أكثر من (30) دقيقة لغاية (60) دقيقة دون إذن، أو عذر مقبول؛ إذا ترتب على ذلك تعطيل عمال آخرين. بالإضافة إلى حسم أجر دقائق التأخر.,خصم 30% بالإضافة إلى حسم أجر دقائق التأخر,خصم 50% بالإضافة إلى حسم أجر دقائق التأخر,خصم يوم بالإضافة إلى حسم أجر مدة التأخر,خصم يومين بالإضافة إلى حسم أجر مدة التأخر
39,مواعيد العمل,7,WS-07,التأخر عن مواعيد الحضور للعمل لمدة تزيد على ساعة دون إذن، أو عذر مقبول؛ سواء ترتب، أو لم يترتب على ذلك تعطيل عمال آخرين. بالإضافة إلى حسم أجر ساعات التأخر.,إنذار كتابي بالإضافة إلى حسم أجر ساعات التأخر,خصم يوم بالإضافة إلى حسم أجر مدة التأخر,خصم يومين بالإضافة إلى حسم أجر مدة التأخر,خصم ثلاثة أيام بالإضافة إلى حسم أجر ساعات التأخر
39,مواعيد العمل,8,WS-08,ترك العمل، أو الانصراف قبل الميعاد دون إذن، أو عذر مقبول بما لا يتجاوز (15) دقيقة. بالإضافة إلى حسم أجر مدة ترك العمل.,إنذار كتابي بالإضافة إلى حسم أجر مدة ترك العمل,خصم 10% بالإضافة إلى حسم أجر مدة ترك العمل,خصم 25% بالإضافة إلى حسم أجر مدة ترك العمل,خصم يوم بالإضافة إلى حسم أجر مدة ترك العمل
39,مواعيد العمل,9,WS-09,ترك العمل، أو الانصراف قبل الميعاد دون إذن، أو عذر مقبول بما يتجاوز (15) دقيقة. بالإضافة إلى حسم أجر مدة ترك العمل.,خصم 10% بالإضافة إلى حسم أجر مدة ترك العمل,خصم 25% بالإضافة إلى حسم أجر مدة ترك العمل,خصم 50% بالإضافة إلى حسم أجر مدة ترك العمل,خصم يوم بالإضافة إلى حسم أجر مدة ترك العمل
39,مواعيد العمل,10,WS-10,البقاء في أماكن العمل، أو العودة إليها بعد انتهاء مواعيد العمل دون إذن مسبق.,إنذار كتابي,خصم 10% من الأجر اليومي,خصم 25% من الأجر اليومي,خصم يوم من الأجر
40,مواعيد العمل,11,WS-11,الغياب دون إذن كتابي، أو عذر مقبول لمدة يوم، خلال السنة العقدية الواحدة.,خصم 50% من الأجر اليومي,خصم يوم من الأجر,خصم يومين من الأجر,خصم ثلاثة أيام من الأجر
40,مواعيد العمل,12,WS-12,الغياب المتصل دون إذن كتابي، أو عذر مقبول من يومين إلى ستة أيام، خلال السنة العقدية الواحدة. بالإضافة إلى حسم أجر مدة الغياب.,خصم يومين بالإضافة إلى حسم أجر مدة الغياب,خصم ثلاثة أيام بالإضافة إلى حسم أجر مدة الغياب,خصم أربعة أيام بالإضافة إلى حسم أجر مدة الغياب,تأجيل الترقية أو الحرمان من العلاوة بالإضافة إلى حسم أجر مدة الغياب
40,مواعيد العمل,13,WS-13,الغياب المتصل دون إذن كتابي، أو عذر مقبول من سبعة أيام إلى عشرة أيام، خلال السنة العقدية الواحدة. بالإضافة إلى حسم أجر مدة الغياب.,خصم أربعة أيام بالإضافة إلى حسم أجر مدة الغياب,خصم خمسة أيام بالإضافة إلى حسم أجر مدة الغياب,تأجيل الترقية أو الحرمان من العلاوة بالإضافة إلى حسم أجر مدة الغياب,الفصل مع المكافأة وفق شرط 30 يوماً بالإضافة إلى حسم أجر مدة الغياب
40,مواعيد العمل,14,WS-14,الغياب المتصل دون إذن كتابي، أو عذر مقبول من أحد عشر يوماً إلى أربعة عشر يوماً، خلال السنة العقدية الواحدة. بالإضافة إلى حسم أجر مدة الغياب.,خصم خمسة أيام بالإضافة إلى حسم أجر مدة الغياب,تأجيل الترقية أو الحرمان من العلاوة مع إنذار بالفصل وحسم أجر الغياب,الفصل طبقاً للمادة 80 بالإضافة إلى حسم أجر مدة الغياب,—
