HR Procedures,إجراءات الموارد البشرية
Automatic Detection,الاكتشاف الآلي
Enable Automatic Detection,تفعيل الاكتشاف الآلي
Automatic Detection Note,ملاحظة الاكتشاف الآلي
Automatic detection creates Draft Employee Violations only. No penalty is executed until the violation is submitted.,ينشئ الاكتشاف الآلي مخالفات موظفين بحالة مسودة فقط، ولا يتم تنفيذ أي عقوبة حتى يتم اعتماد المخالفة.
Penalty Decision Controls,ضوابط قرار العقوبة
Allow Penalty Waiver,السماح بإلغاء تنفيذ العقوبة
Allow Alternative Penalty,السماح بالعقوبة البديلة
Require Reason for Waiver,إلزام سبب عند إلغاء العقوبة
Require Reason for Alternative Penalty,إلزام سبب عند اختيار عقوبة بديلة
Penalty Override Role,الدور المخول بتغيير العقوبة
Payroll Integration,تكامل الرواتب
Deduction Salary Component,مكوّن راتب الخصم
Submit Additional Salary Automatically,اعتماد سجل الراتب الإضافي تلقائياً
Daily Wage Source,مصدر الأجر اليومي
Salary Structure Assignment Base,الراتب الأساسي من تعيين هيكل الرواتب
Last Salary Slip Component,مكوّن من آخر مسير راتب
Wage Salary Component,مكوّن الراتب المستخدم للأجر
Daily Wage Divisor,مقسوم الأجر اليومي
Standard Work Hours per Day,ساعات العمل القياسية في اليوم
Penalty Code,رمز العقوبة
Penalty Name,اسم العقوبة
Active,فعال
Penalty Type,نوع العقوبة
No Action,بدون إجراء
Warning,إنذار
Salary Deduction,خصم من الراتب
Administrative Action,إجراء إداري
Deduction Basis,أساس الخصم
Deduction Value,قيمة الخصم
Percentage of Daily Wage,نسبة من الأجر اليومي
Days of Daily Wage,عدد أيام من الأجر اليومي
Fixed Amount,مبلغ ثابت
Minutes of Wage,دقائق من الأجر
Hours of Wage,ساعات من الأجر
Add Actual Late Minutes Deduction,إضافة خصم دقائق التأخير الفعلية
Add Actual Early Exit Minutes Deduction,إضافة خصم دقائق الانصراف المبكر الفعلية
Warning Type,نوع الإنذار
Written Warning,إنذار كتابي
Final Written Warning,إنذار كتابي نهائي
Administrative Action Type,نوع الإجراء الإداري
Delay Promotion,تأجيل الترقية
Deprive Increment,الحرمان من العلاوة
Termination,إنهاء الخدمة
Suspension,إيقاف عن العمل
Other,أخرى
Description,الوصف
Violation Code,رمز المخالفة
Violation Name,اسم المخالفة
Category,التصنيف
Work Schedules,مواعيد العمل
Work Organization,تنظيم العمل
Employee Conduct,سلوك العامل
Detection,الاكتشاف
Detection Source,مصدر الاكتشاف
Manual,يدوي
Employee Checkin,تسجيل دخول الموظف
Attendance,الحضور
Detection Rule,قاعدة الاكتشاف
Late Entry,التأخير في الحضور
Early Exit,الانصراف المبكر
